學校級別,代碼,學校名稱,縣市別,鄉鎮市區,郵遞區號,地址,電話,網址,體系別,X 坐標,Y 坐標
空大及大專校院附設進修學校,0A18,國立臺中科技大學附空中進院,臺中市,北區,[404,臺中市北區三民路三段129號,(04)22195678,http://www.nutc.edu.tw/bin/home.php,,217786.566,2671714.283
空大及大專校院附設進修學校,1A15,蘭陽技術學院附進修專校,宜蘭縣,頭城鎮,[261,宜蘭縣頭城鎮復興路79號,(03)9771997,http://www.fit.edu.tw,,332621.869,2750963.879
空大及大專校院附設進修學校,1A24,德明財經科技大學附進修專校,臺北市,內湖區,[114,臺北市內湖區環山路一段五六號,(02)26585801,http://www.takming.edu.tw,,307054.821,2775477.142
空大及大專校院附設進修學校,1A26,東南科技大學附進修專校,新北市,深坑區,[222,新北市深坑區北深路三段一五二號,(02)86625900,http://www.tnu.edu.tw/,,311041.471,2766404.63
空大及大專校院附設進修學校,1A38,中華科技大學附進修學院,臺北市,南港區,[115,臺北市南港區研究院路三段245號,(02)27821862~4,http://www.cust.edu.tw/www/cust.html,,311548.794,2769637.233
空大及大專校院附設進修學校,1A40,嶺東科技大學附進修學院,臺中市,南屯區,[408,臺中市南屯區嶺東路一號,(04)23892088,http://www.ltu.edu.tw,,210122.791,2670360.646
空大及大專校院附設進修學校,1A45,龍華科技大學附進修學院,桃園市,龜山區,[333,桃園市龜山區萬壽路一段三○○號,(02)29023211,,,184786.76,2502260.21
空大及大專校院附設進修學校,1A49,德明財經科技大學附進修學院,臺北市,內湖區,[114,臺北市內湖區環山路一段五六號,(02)26585801,http://www.takming.edu.tw,,307054.821,2775477.142
空大及大專校院附設進修學校,1A50,中國科技大學附進修學院,臺北市,文山區,[116,臺北市文山區興隆路三段56號,(02)29313416,http://www.cute.edu.tw/,,306063.503,2765810.855
空大及大專校院附設進修學校,1A51,致理科技大學附進修學院,新北市,板橋區,[220,新北市板橋區文化路一段313號,(02)22576167,http://www.chihlee.edu.tw,,296952.385,2768167.503
空大及大專校院附設進修學校,1A54,南亞技術學院附進修學院,桃園市,中壢區,[320,桃園市中壢區中山東路三段414號,(03)4361070,http://www.nanya.edu.tw/home.aspx,,275433,2758870.01
空大及大專校院附設進修學校,1A56,明新科技大學附進修學院,新竹縣,新豐鄉,[304,新竹縣新豐鄉新興路1號,(03)5593142,http://www.must.edu.tw,,249124.807,2750743.685
空大及大專校院附設進修學校,1A57,修平科技大學附進修學院,臺中市,大里區,[412,臺中市大里區工業路11號,(04)24961100,http://www.hust.edu.tw/,,220882.11,2665623.54
空大及大專校院附設進修學校,1A62,美和科技大學附進修學院,屏東縣,內埔鄉,[912,屏東縣內埔鄉美和村屏光路23號,(08)7799821,http://www.meiho.edu.tw,,204834.9,2500473.32
空大及大專校院附設進修學校,1A64,蘭陽技術學院附進修學院,宜蘭縣,頭城鎮,[261,宜蘭縣頭城鎮復興路79號,(03)9771997,http://www.fit.edu.tw,,332621.869,2750963.879
空大及大專校院附設進修學校,1A66,東南科技大學附進修學院,新北市,深坑區,[222,新北市深坑區北深路三段一五二號,(02)86625900,http://www.tnu.edu.tw/,,311041.471,2766404.63
空大及大專校院附設進修學校,1A67,崇右影藝科技大學附進修學院,基隆市,信義區,[201,基隆市信義區義七路40號,(02)24237785,http://www.cufa.edu.tw/,,326003.273,2780578.641
空大及大專校院附設進修學校,1A71,嘉南藥理大學附進修學院,臺南市,仁德區,[717,臺南市仁德區二仁路一段60號,(06)2664911,http://www.cnu.edu.tw,,170584.343,2535647.233
空大及大專校院附設進修學校,1A72,元培醫事科技大學附進修學院,新竹市,香山區,[300,新竹市香山區元培街306號,(03)5381183,http://www.ypu.edu.tw/,,243971.14,2741172.41
空大及大專校院附設進修學校,1A75,元培醫事科技大學附進修專校,新竹市,香山區,[300,新竹市香山區元培街306號,(03)5381183,http://www.ypu.edu.tw/,,243971.14,2741172.41
空大及大專校院附設進修學校,1A76,東方設計大學附進修學院,高雄市,湖內區,[829,高雄市湖內區東方路110號,(07)6932011,http://www.tf.edu.tw,,172741.769,2531163.326
空大及大專校院附設進修學校,1A80,中臺科技大學附進修學院,臺中市,北屯區,[406,臺中市北屯區廍子路666號,(04)22391647,http://www.ctust.edu.tw,,223182.858,2674155.483
空大及大專校院附設進修學校,3A01,高雄市立空中大學,高雄市,小港區,[812,高雄市小港區大業北路436號,(07)8012008,http://www.ouk.edu.tw,,182713.916,2496421.779
軍警大專校院,M001,中華民國陸軍官校,高雄市,鳳山區,[83059,高雄市鳳山區維武路1號,(07)7462151,http://www.cma.edu.tw,,184786.76,2502260.21
軍警大專校院,M002,中華民國海軍官校,高雄市,左營區,[81345,高雄市左營區軍校路669號,(07)5813141,http://www.cna.edu.tw/~na/chinese_web/index.htm,,177292,2511810.008
軍警大專校院,M003,中華民國空軍官校,高雄市,岡山區,[82047,高雄市岡山區介壽西路西首1號,(07)6254141,http://www.cafa.edu.tw/index.asp,,175583.158,2520594.912
軍警大專校院,M009,國防大學,桃園市,八德區,[33448,桃園市八德區興豐路1000號,(03)3801120,http://www.ndu.edu.tw/,,280614.31,2758583.75
軍警大專校院,M066,中央警察大學,桃園市,龜山區,[33304,桃園市龜山區大崗里樹人路56號 ,(03)3282321,http://www.cpu.edu.tw/bin/home.php,,285110.81,2770725.53
軍警大專校院,M104,國防醫學院,臺北市,內湖區,[11490,臺北市內湖區民權東路六段161號 ,(02)87923100,http://www.ndmctsgh.edu.tw/,,310064.9,2773757.786
軍警大專校院,M108,空軍航空技術學院,高雄市,岡山區,[82047,高雄市岡山區介壽西路198號,(07)6254141,http://www.afats.khc.edu.tw/,,175879.49,2520611.21
軍警大專校院,M209,陸軍專科學校,桃園市,中壢區,[32092,桃園市中壢區中堅里3鄰龍東路750號,(03)4664600#345154,http://www.aaroc.edu.tw/,,276232.57,2759062.63
軍警大專校院,M267,臺灣警察專科學校,臺北市,文山區,[11696,臺北市文山區興隆路三段 153 號,(02)22308512-4,http://www.tpa.edu.tw/,,306457.69,2765677.834
